date,open,high,low,close,volume,adj close,dprice,kprice,ma_5,ma_30
2011-01-03,2.23,2.23,2.23,2.23,0,2.23,2.23,2.23,,
2011-01-04,2.23,2.23,2.23,2.23,0,2.23,2.23,2.23,,
2011-01-05,2.16,2.23,2.16,2.16,3200,2.16,2.16,2.16,,
2011-01-06,2.2,2.2,1.9,2.12,97100,2.12,2.12,2.12,,
2011-01-07,2.09,2.2,2.09,2.17,4900,2.17,2.17,2.17,2.182,
2011-01-10,2.2,2.2,2.2,2.2,500,2.2,2.2,2.2,2.1759999999999997,
2011-01-11,2.2,2.2,2.2,2.2,0,2.2,2.2,2.2,2.1699999999999995,
2011-01-12,1.94,2.22,1.94,2.2,3200,2.2,2.2,2.2,2.1779999999999995,
2011-01-13,2.19,2.21,2.1,2.21,5400,2.21,2.21,2.21,2.1959999999999993,
2011-01-14,2.2,2.2,2.19,2.19,2100,2.19,2.19,2.19,2.1999999999999993,
2011-01-18,2.23,2.23,2.22,2.23,2200,2.23,2.23,2.23,2.2059999999999995,
2011-01-19,2.23,2.25,2.23,2.25,3600,2.25,2.25,2.25,2.2159999999999997,
2011-01-20,2.29,2.36,2.29,2.36,4900,2.36,2.36,2.36,2.2479999999999998,
2011-01-21,2.24,2.36,2.24,2.35,2300,2.35,2.35,2.35,2.276,
2011-01-24,2.34,2.34,2.3,2.3,500,2.3,2.3,2.3,2.298,
2011-01-25,2.35,2.35,2.35,2.35,2400,2.35,2.35,2.35,2.322,
2011-01-26,2.38,2.46,2.35,2.35,3200,2.35,2.35,2.35,2.3419999999999996,
2011-01-27,2.3,2.4,2.3,2.4,5500,2.4,2.4,2.4,2.35,
2011-01-28,2.41,2.45,2.3,2.43,3300,2.43,2.43,2.43,2.366,
2011-01-31,2.43,2.5,2.43,2.5,10200,2.5,2.5,2.5,2.406,
2011-02-01,2.49,2.5,2.45,2.45,1400,2.45,2.45,2.45,2.426,
2011-02-02,2.5,2.53,2.5,2.52,2600,2.52,2.52,2.52,2.46,
2011-02-03,2.66,2.76,2.3,2.5,13800,2.5,2.5,2.5,2.48,
2011-02-04,2.31,2.59,2.2,2.51,4100,2.51,2.51,2.51,2.496,
2011-02-07,2.51,2.51,2.51,2.51,0,2.51,2.51,2.51,2.498,
2011-02-08,2.51,2.55,2.51,2.55,400,2.55,2.55,2.55,2.518,
2011-02-09,2.56,2.56,2.56,2.56,800,2.56,2.56,2.56,2.5260000000000002,
2011-02-10,2.57,2.59,2.52,2.59,900,2.59,2.59,2.59,2.544,
2011-02-11,2.44,2.59,2.4,2.59,4400,2.59,2.59,2.59,2.56,
2011-02-14,2.59,2.59,2.4,2.59,2700,2.59,2.59,2.59,2.576,2.3600000000000003
2011-02-15,2.54,2.59,2.54,2.59,1400,2.59,2.59,2.59,2.5840000000000005,2.3720000000000003
2011-02-16,2.58,2.59,2.41,2.58,8600,2.58,2.58,2.58,2.588,2.383666666666667
2011-02-17,2.57,2.59,2.46,2.59,5300,2.59,2.59,2.59,2.588,2.3980000000000006
2011-02-18,2.58,2.65,2.57,2.65,5700,2.65,2.65,2.65,2.6000000000000005,2.415666666666667
2011-02-22,2.65,2.65,2.41,2.56,4200,2.56,2.56,2.56,2.5940000000000003,2.428666666666667
2011-02-23,2.56,2.65,2.44,2.65,1900,2.65,2.65,2.65,2.6060000000000008,2.443666666666667
2011-02-24,2.53,2.61,2.45,2.45,4300,2.45,2.45,2.45,2.580000000000001,2.4520000000000004
2011-02-25,2.49,2.59,2.49,2.59,1000,2.59,2.59,2.59,2.580000000000001,2.4650000000000007
2011-02-28,2.65,2.65,2.59,2.65,6100,2.65,2.65,2.65,2.580000000000001,2.4796666666666676
2011-03-01,2.64,2.64,2.59,2.6,600,2.6,2.6,2.6,2.5880000000000005,2.493333333333334
2011-03-02,2.63,2.63,2.59,2.62,700,2.62,2.62,2.62,2.5820000000000003,2.5063333333333344
2011-03-03,2.62,2.62,2.62,2.62,0,2.62,2.62,2.62,2.6160000000000005,2.5186666666666677
2011-03-04,2.59,2.65,2.59,2.65,400,2.65,2.65,2.65,2.6280000000000006,2.5283333333333347
2011-03-07,2.6,2.65,2.6,2.65,3800,2.65,2.65,2.65,2.6280000000000006,2.538333333333335
2011-03-08,2.64,2.7,2.64,2.7,16900,2.7,2.7,2.7,2.6480000000000006,2.5516666666666685
2011-03-09,2.7,2.76,2.7,2.75,7900,2.75,2.75,2.75,2.674000000000001,2.565000000000002
2011-03-10,2.75,2.76,2.59,2.74,10900,2.74,2.74,2.74,2.6980000000000013,2.578000000000002
2011-03-11,2.74,2.74,2.74,2.74,500,2.74,2.74,2.74,2.7160000000000006,2.589333333333335
2011-03-14,2.74,2.74,2.7,2.7,1400,2.7,2.7,2.7,2.726000000000001,2.598333333333335
2011-03-15,2.7,2.73,2.63,2.7,2200,2.7,2.7,2.7,2.7260000000000013,2.6050000000000018
2011-03-16,2.69,2.74,2.69,2.74,1500,2.74,2.74,2.74,2.724000000000001,2.614666666666668
2011-03-17,2.74,2.74,2.7,2.7,700,2.7,2.7,2.7,2.7160000000000006,2.620666666666668
2011-03-18,2.7,2.7,2.7,2.7,0,2.7,2.7,2.7,2.708000000000001,2.627333333333335
2011-03-21,2.74,2.75,2.7,2.73,2700,2.73,2.73,2.73,2.714000000000001,2.6346666666666683
2011-03-22,2.61,2.75,2.61,2.75,5300,2.75,2.75,2.75,2.724000000000001,2.6426666666666683
2011-03-23,2.75,2.75,2.75,2.75,1300,2.75,2.75,2.75,2.726000000000001,2.649333333333335
2011-03-24,2.7,2.7,2.7,2.7,2300,2.7,2.7,2.7,2.7260000000000013,2.6540000000000017
2011-03-25,2.63,2.75,2.62,2.75,6400,2.75,2.75,2.75,2.7360000000000015,2.659333333333335
2011-03-28,2.68,2.75,2.61,2.75,8800,2.75,2.75,2.75,2.740000000000001,2.664666666666668
2011-03-29,2.75,2.75,2.62,2.7,9600,2.7,2.7,2.7,2.7300000000000013,2.668333333333335
2011-03-30,2.63,2.69,2.63,2.69,1400,2.69,2.69,2.69,2.7180000000000013,2.6716666666666677
2011-03-31,2.63,2.74,2.61,2.73,9100,2.73,2.73,2.73,2.7240000000000015,2.676666666666668
2011-04-01,2.72,2.83,2.72,2.79,10000,2.79,2.79,2.79,2.7320000000000015,2.683333333333335
2011-04-04,2.7,2.83,2.67,2.79,15500,2.79,2.79,2.79,2.740000000000001,2.6880000000000015
2011-04-05,2.79,2.84,2.68,2.84,7800,2.84,2.84,2.84,2.7680000000000016,2.6973333333333347
2011-04-06,2.83,2.89,2.7,2.89,17400,2.89,2.89,2.89,2.8080000000000016,2.7053333333333347
2011-04-07,2.91,2.96,2.91,2.96,5400,2.96,2.96,2.96,2.8540000000000014,2.722333333333334
2011-04-08,2.98,3.17,2.79,3.09,15800,3.09,3.09,3.09,2.9140000000000015,2.739000000000001
2011-04-11,3.1,3.1,3.03,3.08,4800,3.08,3.08,3.08,2.9720000000000013,2.7533333333333343
2011-04-12,3.09,3.11,3.08,3.11,6400,3.11,3.11,3.11,3.026000000000001,2.770333333333334
2011-04-13,3.16,3.16,3.1,3.15,4400,3.15,3.15,3.15,3.0780000000000007,2.788000000000001
2011-04-14,3.14,3.15,3.01,3.15,2000,3.15,3.15,3.15,3.1160000000000005,2.8056666666666676
2011-04-15,3.15,3.15,3.09,3.15,2800,3.15,3.15,3.15,3.128,2.8223333333333342
2011-04-18,3.15,3.15,3.15,3.15,0,3.15,3.15,3.15,3.142,2.839000000000001
2011-04-19,3.01,3.15,3.0,3.15,2100,3.15,3.15,3.15,3.15,2.854000000000001
2011-04-20,3.01,3.14,3.01,3.14,2800,3.14,3.14,3.14,3.148,2.8670000000000013
2011-04-21,3.05,3.15,3.05,3.15,2000,3.15,3.15,3.15,3.148,2.8806666666666683
2011-04-25,3.12,3.15,3.04,3.15,2200,3.15,3.15,3.15,3.148,2.894333333333335
2011-04-26,3.12,3.16,3.0,3.16,7500,3.16,3.16,3.16,3.1499999999999995,2.909666666666668
2011-04-27,3.16,3.16,3.16,3.16,0,3.16,3.16,3.16,3.1519999999999992,2.9250000000000016
2011-04-28,3.16,3.19,3.09,3.16,4300,3.16,3.16,3.16,3.155999999999999,2.9390000000000014
2011-04-29,3.13,3.16,3.13,3.15,2800,3.15,3.15,3.15,3.1559999999999984,2.9540000000000015
2011-05-02,3.15,3.15,3.15,3.15,0,3.15,3.15,3.15,3.1559999999999984,2.9690000000000016
2011-05-03,3.15,3.15,3.15,3.15,700,3.15,3.15,3.15,3.1539999999999986,2.983000000000002
2011-05-04,3.14,3.15,3.14,3.15,700,3.15,3.15,3.15,3.1519999999999984,2.996333333333335
2011-05-05,3.16,3.16,3.16,3.16,100,3.16,3.16,3.16,3.1519999999999984,3.010000000000002
2011-05-06,3.01,3.25,3.01,3.12,16000,3.12,3.12,3.12,3.145999999999998,3.024000000000002
2011-05-09,3.12,3.24,3.12,3.13,4200,3.13,3.13,3.13,3.1419999999999986,3.0366666666666684
2011-05-10,3.15,3.23,3.15,3.23,1100,3.23,3.23,3.23,3.157999999999998,3.0526666666666684
2011-05-11,3.12,3.24,3.12,3.23,3800,3.23,3.23,3.23,3.1739999999999977,3.0703333333333354
2011-05-12,3.23,3.23,3.23,3.23,0,3.23,3.23,3.23,3.1879999999999975,3.0883333333333356
2011-05-13,3.23,3.23,2.94,3.15,16900,3.15,3.15,3.15,3.193999999999997,3.1023333333333354
2011-05-16,2.98,3.1,2.85,3.0,24000,3.0,3.0,3.0,3.167999999999997,3.109333333333335
2011-05-17,2.62,3.14,2.51,3.14,10300,3.14,3.14,3.14,3.1499999999999972,3.1210000000000018
