date,open,high,low,close,volume,adj close,dprice,kprice,ma_5,ma_15,dvix
2000-01-03,124.62,125.19,111.62,118.12,98114800,27.43,28.93,26.82,,,
2000-01-04,115.5,118.62,105.0,107.69,116824800,25.0,26.82,23.59,,,92.68
2000-01-05,101.62,106.38,96.0,102.0,166054000,23.68,23.59,23.25,,,87.99
2000-01-06,100.16,105.0,94.69,96.0,109880000,22.29,23.25,22.06,,,98.55
2000-01-07,95.0,103.5,93.56,103.38,91755600,24.0,22.06,25.07,24.48,,94.85
2000-01-10,108.0,116.0,105.5,115.75,91518000,26.87,25.07,26.15,24.37,,113.68
2000-01-11,112.62,114.75,109.5,112.38,86585200,26.09,26.15,26.06,24.59,,104.28
2000-01-12,112.25,112.25,103.69,105.62,83443600,24.52,26.06,25.19,24.76,,99.67
2000-01-13,108.5,109.88,103.5,105.06,55779200,24.39,25.19,25.31,25.18,,96.66
2000-01-14,109.0,111.38,104.75,106.81,57078000,24.8,25.31,25.05,25.34,,100.46
2000-01-18,107.88,114.5,105.62,111.25,66780000,25.83,25.05,26.06,25.13,,98.97
2000-01-19,56.12,58.25,54.0,57.12,49198400,26.53,26.06,27.4,25.21,,104.06
2000-01-20,59.0,60.25,58.12,59.25,54526800,27.51,27.4,28.56,25.81,,105.12
2000-01-21,61.5,61.5,59.0,59.69,50891000,27.72,28.56,27.98,26.48,,104.24
2000-01-24,60.25,60.38,54.0,54.19,50022400,25.16,27.98,25.57,26.55,25.45,97.97
2000-01-25,55.06,57.5,54.88,56.44,53059200,26.21,25.57,26.35,26.62,25.37,91.39
2000-01-26,56.75,58.94,55.0,55.06,47569200,25.57,26.35,25.92,26.43,25.41,103.06
2000-01-27,55.81,56.69,50.0,51.81,61054000,24.06,25.92,23.91,25.74,25.44,98.35
2000-01-28,51.5,51.94,46.62,47.38,86394000,22.0,23.91,22.26,24.6,25.42,92.27
2000-01-31,47.94,50.12,47.06,49.95,68148000,23.2,22.26,23.8,24.21,25.36,93.08
2000-02-01,51.25,54.31,50.0,54.0,57105600,25.07,23.8,25.51,23.98,25.24,106.91
2000-02-02,54.94,56.0,54.0,54.31,63933000,25.22,25.51,25.71,23.91,25.19,107.2
2000-02-03,55.38,57.0,54.25,56.69,55533200,26.32,25.71,26.76,24.36,25.31,100.8
2000-02-04,57.62,58.25,56.81,57.81,40916000,26.84,26.76,27.54,25.33,25.47,104.06
2000-02-07,59.31,60.0,58.88,59.94,44691200,27.83,27.54,28.21,26.26,25.67,102.93
2000-02-08,60.75,61.44,59.0,59.56,55718000,27.66,28.21,27.89,26.78,25.79,102.42
2000-02-09,60.06,61.31,58.81,59.94,52471600,27.83,27.89,27.86,27.3,25.88,98.87
2000-02-10,60.0,62.62,58.0,62.31,45288600,28.93,27.86,29.02,27.82,25.97,99.9
2000-02-11,62.5,64.75,58.75,59.69,55774000,27.72,29.02,28.27,27.99,25.97,104.17
2000-02-14,60.88,62.25,58.62,62.19,37599800,28.88,28.27,28.62,28.2,26.22,97.4
