date,stkVal,cash,dret,val,downLow,downHigh,downDay,downKMax
2000-01-03,0.0,1000.0,0.0,1000.0,1000.0,1000.0,0.0,0.0
2000-01-04,0.0,1000.0,0.0,1000.0,1000.0,1000.0,1.0,0.0
2000-01-05,0.0,1000.0,0.0,1000.0,1000.0,1000.0,2.0,0.0
2000-01-06,0.0,1000.0,0.0,1000.0,1000.0,1000.0,3.0,0.0
2000-01-07,0.0,1000.0,0.0,1000.0,1000.0,1000.0,4.0,0.0
2000-01-10,0.0,1000.0,0.0,1000.0,1000.0,1000.0,7.0,0.0
2000-01-11,0.0,1000.0,0.0,1000.0,1000.0,1000.0,8.0,0.0
2000-01-12,0.0,1000.0,0.0,1000.0,1000.0,1000.0,9.0,0.0
2000-01-13,0.0,1000.0,0.0,1000.0,1000.0,1000.0,10.0,0.0
2000-01-14,0.0,1000.0,0.0,1000.0,1000.0,1000.0,11.0,0.0
2000-01-18,0.0,1000.0,0.0,1000.0,1000.0,1000.0,15.0,0.0
2000-01-19,0.0,1000.0,0.0,1000.0,1000.0,1000.0,16.0,0.0
2000-01-20,0.0,1000.0,0.0,1000.0,1000.0,1000.0,17.0,0.0
2000-01-21,0.0,1000.0,0.0,1000.0,1000.0,1000.0,18.0,0.0
2000-01-24,0.0,1000.0,0.0,1000.0,1000.0,1000.0,21.0,0.0
2000-01-25,0.0,1000.0,0.0,1000.0,1000.0,1000.0,22.0,0.0
2000-01-26,0.0,1000.0,0.0,1000.0,1000.0,1000.0,23.0,0.0
2000-01-27,0.0,1000.0,0.0,1000.0,1000.0,1000.0,24.0,0.0
2000-01-28,0.0,1000.0,0.0,1000.0,1000.0,1000.0,25.0,0.0
2000-01-31,0.0,1000.0,0.0,1000.0,1000.0,1000.0,28.0,0.0
2000-02-01,0.0,1000.0,0.0,1000.0,1000.0,1000.0,29.0,0.0
2000-02-02,0.0,1000.0,0.0,1000.0,1000.0,1000.0,30.0,0.0
2000-02-03,0.0,1000.0,0.0,1000.0,1000.0,1000.0,31.0,0.0
2000-02-04,0.0,1000.0,0.0,1000.0,1000.0,1000.0,32.0,0.0
2000-02-07,0.0,1000.0,0.0,1000.0,1000.0,1000.0,35.0,0.0
2000-02-08,0.0,1000.0,0.0,1000.0,1000.0,1000.0,36.0,0.0
2000-02-09,0.0,1000.0,0.0,1000.0,1000.0,1000.0,37.0,0.0
2000-02-10,0.0,1000.0,0.0,1000.0,1000.0,1000.0,38.0,0.0
2000-02-11,0.0,1000.0,0.0,1000.0,1000.0,1000.0,39.0,0.0
2000-02-14,0.0,1000.0,0.0,1000.0,1000.0,1000.0,42.0,0.0
2000-02-15,0.0,1000.0,0.0,1000.0,1000.0,1000.0,43.0,0.0
2000-02-16,0.0,1000.0,0.0,1000.0,1000.0,1000.0,44.0,0.0
2000-02-17,0.0,1000.0,0.0,1000.0,1000.0,1000.0,45.0,0.0
2000-02-18,0.0,1000.0,0.0,1000.0,1000.0,1000.0,46.0,0.0
2000-02-22,0.0,1000.0,0.0,1000.0,1000.0,1000.0,50.0,0.0
2000-02-23,0.0,1000.0,0.0,1000.0,1000.0,1000.0,51.0,0.0
2000-02-24,0.0,1000.0,0.0,1000.0,1000.0,1000.0,52.0,0.0
